,COMPANY NAME,RANK 2020,2020 REVENUE(₹ Cr),2020 PAT IN CRORES,2020 MARKET CAP(₹ Cr),2020 COMPANY TYPE,2020 REVENUE(₹ Cr)_%CHANGE,2020 PAT IN CRORES_%CHANGE,PAT% CATEGORY,REVENUE% CATEGORY
162,Prestige Estates Projects Ltd.,186,8285,403,10548.0,Mid-Cap,53.312361213915615,-2.891566265060241,NEGATIVE,HIGH
163,Uflex Ltd.,204,7433,369,2426.0,Small-Cap,-6.819606368308888,17.89137380191693,MODERATE,NEGATIVE
164,Alok Industries Ltd.,261,5313,1223,11432.0,Mid-Cap,-49.10432033719705,-41.088631984585746,NEGATIVE,NEGATIVE
165,Jammu & Kashmir Bank Ltd.,171,8954,-1183,1263.0,Small-Cap,5.427999529023902,-355.50755939524834,NEGATIVE,LOW
166,DCM Shriram Ltd.,190,8157,716,5409.0,Mid-Cap,3.805039450241792,-20.883977900552487,NEGATIVE,LOW
167,Aster DM Healthcare Ltd.,176,8776,276,7679.0,Mid-Cap,9.741152932349632,-17.117117117117118,NEGATIVE,LOW
168,APL Apollo Tubes Ltd.,197,7745,237,8094.0,Mid-Cap,8.10999441652708,60.13513513513513,HIGH,LOW
169,Kama Holdings Ltd.,208,7399,530,3327.0,Small-Cap,-4.982663413381276,56.80473372781065,HIGH,NEGATIVE
170,South Indian Bank Ltd.,175,8809,104,1243.0,Small-Cap,15.877400684030519,-57.89473684210527,NEGATIVE,MODERATE
171,SRF Ltd.,209,7361,1019,29484.0,Large-Cap,-4.798241076047594,58.97035881435257,HIGH,NEGATIVE
172,Rashtriya Chemicals & Fertilizers Ltd.,155,9827,207,2491.0,Small-Cap,9.33466844681798,54.47761194029851,HIGH,LOW
173,Reliance Power Ltd.,188,8202,-4076,874.0,Small-Cap,-3.9353478566408993,38.12267028126059,MODERATE,NEGATIVE
174,Gokul Agro Resources Ltd.,243,5600,19,179.0,Small-Cap,22.941822173435785,90.0,HIGH,MODERATE
175,Hindustan Construction Company Ltd.,312,4007,-168,799.0,Small-Cap,-62.02615617892343,-50.733137829912025,NEGATIVE,NEGATIVE
176,United Spirits Ltd.,164,9442,658,40013.0,Large-Cap,0.308084563900988,-6.0,NEGATIVE,LOW
177,MindTree Ltd.,196,7839,630,22294.0,Large-Cap,10.253164556962027,-16.445623342175068,NEGATIVE,LOW
178,NCC Ltd.,169,9014,336,2361.0,Small-Cap,-30.778682230072185,-41.86851211072664,NEGATIVE,NEGATIVE
179,Torrent Pharmaceuticals Ltd.,191,8060,1024,44093.0,Large-Cap,4.282572130935438,134.8623853211009,EXCELLENT,LOW
180,Punjab & Sind Bank,174,8826,-990,812.0,Small-Cap,-5.96633283613893,82.32044198895028,HIGH,NEGATIVE
181,Zee Entertainment Enterprises Ltd.,183,8526,526,18214.0,Mid-Cap,4.140710883107365,-66.4326738991704,NEGATIVE,LOW
182,Gujarat State Fertilizer & Chemicals Ltd.,193,7907,109,2627.0,Small-Cap,-8.036752733193767,-77.89046653144015,NEGATIVE,NEGATIVE
183,Voltas Ltd.,194,7888,517,25137.0,Large-Cap,7.892217206948433,1.9723865877712032,LOW,LOW
184,Karnataka Bank Ltd.,195,7870,431,1385.0,Small-Cap,13.942377298392936,-9.643605870020965,NEGATIVE,LOW
185,Ceat Ltd.,222,6816,231,4540.0,Small-Cap,-3.223058355814284,-8.333333333333332,NEGATIVE,NEGATIVE
186,PNB Housing Finance Ltd.,184,8489,646,6324.0,Mid-Cap,10.490693739424705,-45.75986565910999,NEGATIVE,LOW
187,Varun Beverages Ltd.,181,8558,468,21278.0,Large-Cap,66.82261208576999,60.273972602739725,HIGH,HIGH
188,Whirlpool of India Ltd.,207,7409,490,26801.0,Large-Cap,10.664675130694548,19.80440097799511,MODERATE,LOW
189,Welspun India Ltd.,221,6879,507,6684.0,Mid-Cap,4.101089588377723,142.58373205741626,EXCELLENT,LOW
190,Pidilite Industries Ltd.,203,7446,1116,79610.0,Large-Cap,3.016048699501937,20.77922077922078,MODERATE,LOW
191,Biocon Ltd.,227,6596,748,50407.0,Large-Cap,12.67509395285275,-17.34806629834254,NEGATIVE,LOW
192,Housing and Urban Development Corporation Ltd.,200,7571,1708,6572.0,Mid-Cap,35.41405830799499,44.8685326547922,MODERATE,MODERATE
193,Amara Raja Batteries Ltd.,220,6894,660,14303.0,Mid-Cap,0.8042111419798217,36.64596273291926,MODERATE,LOW
194,JSW Energy Ltd.,166,9219,1099,9982.0,Mid-Cap,-3.3343818810946844,58.1294964028777,HIGH,NEGATIVE
195,Escorts Ltd.,237,5907,472,18305.0,Mid-Cap,-7.137242571922655,-1.2552301255230125,NEGATIVE,NEGATIVE
196,Divi's Laboratories Ltd.,244,5584,1376,89663.0,Large-Cap,9.468731621250734,1.7751479289940828,LOW,LOW
197,NBCC (India) Ltd.,252,5445,79,4372.0,Small-Cap,-46.35996453551374,-78.93333333333334,NEGATIVE,NEGATIVE
198,Birla Corporation Ltd.,215,7000,505,5448.0,Mid-Cap,5.62848951259997,98.0392156862745,HIGH,LOW
199,Berger Paints (India) Ltd.,229,6434,657,62532.0,Large-Cap,5.113543538637478,32.19315895372233,MODERATE,LOW
200,GMR Infrastructure Ltd.,165,9222,-2429,14928.0,Mid-Cap,9.864188706218728,-32.150837988826815,NEGATIVE,LOW
201,Container Corporation of India Ltd.,218,6926,404,24442.0,Large-Cap,-6.745657735290157,-67.18115353371243,NEGATIVE,NEGATIVE
202,Welspun Corp Ltd.,151,10278,635,2772.0,Small-Cap,13.094190140845072,-4984.615384615385,NEGATIVE,LOW
203,JK Cement Ltd.,238,5886,496,14630.0,Mid-Cap,10.245364300430793,88.59315589353612,HIGH,LOW
