,RANK 2021,COMPANY NAME,2021 REVENUE(₹ Cr),2021 PAT IN CRORES,2021 MARKET CAP(₹ Cr),2021 COMPANY TYPE,2021 REVENUE(₹ Cr)_%CHANGE,2021 PAT IN CRORES_%CHANGE,PAT% CATEGORY,REVENUE% CATEGORY
156,164,Cholamandalam Investment & Finance Company Ltd.,9583,1521,50076.0,Large-Cap,9.997704315886134,44.44444444444444,MODERATE,LOW
157,165,Eicher Motors Ltd.,9204,1346,71076.0,Large-Cap,-5.386513157894736,-26.327312534209085,NEGATIVE,NEGATIVE
158,166,JK Tyre & Industries Ltd.,9185,333,3442.0,Small-Cap,4.935450702616246,122.0,EXCELLENT,LOW
159,167,National Aluminium Company Ltd.,9102,1299,17899.0,Mid-Cap,4.09423604757548,855.1470588235294,EXCELLENT,LOW
160,168,Alkem Laboratories Ltd.,9098,1617,42225.0,Large-Cap,7.694128787878787,43.47826086956522,MODERATE,LOW
161,170,Marico Ltd.,9007,1199,71268.0,Large-Cap,10.096565212076763,17.43388834476004,MODERATE,LOW
162,171,Prestige Estates Projects Ltd.,8971,1552,18697.0,Mid-Cap,8.28002414001207,285.1116625310174,EXCELLENT,LOW
163,172,Uflex Ltd.,8914,843,3766.0,Small-Cap,19.9246602986681,128.45528455284554,EXCELLENT,MODERATE
164,173,Alok Industries Ltd.,8897,-5673,11119.0,Mid-Cap,67.45718050065877,-563.8593622240393,NEGATIVE,HIGH
165,174,Jammu & Kashmir Bank Ltd.,8833,428,3948.0,Small-Cap,-1.3513513513513513,-136.17920540997463,NEGATIVE,NEGATIVE
166,175,DCM Shriram Ltd.,8701,672,15682.0,Mid-Cap,6.6691185484859625,-6.145251396648044,NEGATIVE,LOW
167,176,Aster DM Healthcare Ltd.,8661,177,9858.0,Mid-Cap,-1.3103919781221514,-35.869565217391305,NEGATIVE,NEGATIVE
168,178,APL Apollo Tubes Ltd.,8535,407,22328.0,Large-Cap,10.200129115558425,71.72995780590718,HIGH,LOW
169,179,Kama Holdings Ltd.,8499,1196,6592.0,Mid-Cap,14.866873901878632,125.66037735849056,EXCELLENT,LOW
170,180,South Indian Bank Ltd.,8490,61,1918.0,Small-Cap,-3.621296401407651,-41.34615384615385,NEGATIVE,NEGATIVE
